"TimeEventTime	Time Event Time	Timestamp"
"TimeEventTimeISO	Time Event Time ISO	Varchar"
"ZoneType	Zone Type	Varchar"
"TimeEventDuration	Time Event Duration	Number"
"TimeEventDurationUOM	Time Event Duration Unit of Measure	Varchar"
"ZmmShiftId	Library Shift Id	Number"
"Cost	Cost	Varchar"
"AdjReasonIn	Adjustment Reason for In Time Event	Varchar"
"PJC_EXPENDITURE_TYPE_NAME	Expenditure Type Name	Varchar"
"StopTime	Stop Time	Timestamp"
"SubresourceId	Assignment	Number"
"TimeConsumerConfigurationSet	Consumer Configuration Set	Number"
"TimeConsumerSet	Consumer Set	Number"
"TimeRecordType	Time Record Type	Varchar"
"TimeReporter	Time Reporter	Number"
"ORA_HWM_START_OF_SHIFT	Start of Shift	Varchar"
"WBCLCK_TAMPERED_IN	Time Tampered In	Varchar"
"WBCLCK_TAMPERED_OUT	Time Tampered Out	Varchar"
"AbsenceCalculatedDuration	Absence Calculated Duration	Number"
"AbsenceShiftBreakdownId	Absence Shift Breakdown ID	Number"
"TimeRecordAbsenceEntryId	Time Record Absence Entry ID	Number"
"BREAK_DOWN_LEVEL	Break Down Level	Number"
"WORK_LOCATION_SPLIT_MARKER	Work Location Split Marker	Varchar"
"OverrideActualDate	Earned Date	Date"
"OpenEndedAbsence	Open Ended Absence	Varchar"
"OpenEndedAbsenceName	Open Ended Absence Name	Varchar"
"ReadOnlyAbsence	Read Only Absence	Varchar"
"ELAPSED_DURATION	Elapsed duration	Number"
"InvolvesChangeRequest	Involves Change Request	Varchar"
"MarkedForDelete	Marked For Delete	Varchar"
"PYR_ORA_OVRD_CHECK_PRINTER	ORA_OVRD_CHECK_PRINTER	"
"GD_ORA_OVRD_CHECK_PRINTER_NUMB	ORA_OVRD_CHECK_PRINTER	Number"
"PYR_ORA_PAY_METHOD	ORA_PAY_METHOD	"
"GD_ORA_PAY_METHOD_NUMB	ORA_PAY_METHOD	Number"
"PYR_ORA_EXPEDITE	ORA_EXPEDITE	"
"GD_ORA_EXPEDITE_NUMB	ORA_EXPEDITE	Number"
"ORA_HWM_CLOCK_IN_PROPERTY	Start Property	Varchar"
"ORA_HWM_CLOCK_OUT_PROPERTY	End Property	Varchar"
"ORA_HWM_END_OF_SHIFT	End of Shift	Varchar"
"TimeEventName	Time Event Name	Varchar"
"GD_STATE_NUMB	STATE	Number"
"GeolocationException	Geolocation Exception	Varchar"
"PJC_PROJECT_ROLE_ID	Project Role	Number"
"PJC_CAPITALIZABLE_FLAG	Capitalizable	Varchar"
"PJC_CAPITALIZABLE_IDENTIFIER	Capitalizable Obsolete	Varchar"
"PJC_CONTRACT_FUNDING_SOURCE	Funding Source Obsolete	Varchar"
"PJC_CONTRACT_ID	Contract	Number"
"PJC_CONTRACT_NUMBER	Contract Obsolete	Varchar"
"PJC_EXPEND_ORGANIZATION	Expenditure Organization Obsolete	Varchar"
"AbsenceType	Absence Management Type	Number"
"Fields	Fields	"
"PJC_EXPENDITURE_TYPE_ID	Expenditure Type	Number"
"InputValue	Input Values	Varchar"
"AbsenceEntryId	Absence Entry ID	Number"
"ActivityEventTime	Activity Event Time	Timestamp"
"ActivityType	Activity Type	Varchar"
"BUSINESS_UNIT	Business Unit	Number"
"BuildingBlockType	Time Entry Increment	Varchar"
"Comment	Comment	Varchar"
"CostSegment	Cost Segment	Varchar"
"Day	Day	Varchar"
"ENTERPRISE_ID	Enterprise ID	Number"
"EstimatedStartDate	Estimated Start Date	Timestamp"
"GroupTypeId	Group Type	Number"
"CUSTOM_TIME_ATTRIBUTE_ZXT	Custom_Time_Attribute_ZXT	Varchar"
"LDG_ID	Legislative Data Group	Number"
"LayerTimeRecordGroupId	Layer Group	Number"
"AdjReasonOut	Adjustment Reason for Out Time Event	Varchar"
"AllowException	Allow Exception	Varchar"
"ClockId	Time Collection Device ID	Varchar"
"ClockIdIn	Start Time Device ID	Varchar"
"EndDayPartial	End Day is Partial Absence	Varchar"
"HeaderMessage	Header Message	Varchar"
"MassGenRequestId	Process Request ID	Number"
"SchedTimeIn	Scheduled In Time	Timestamp"
"SchedTimeOut	Scheduled Out Time	Timestamp"
"StartGmtOffset	Start GMT Offset	Number"
"GeofenceError	Geofence Error	Varchar"
"GeofenceValidationStatus	Geofence Validation Status	Varchar"
"StartTimeZoneCode	Start TimeZone Code	Varchar"
"StopTimeZoneCode	Stop TimeZone Code	Varchar"
"SupplierEventIn	Supplier In Event	Varchar"
